traits	Year	Location	Subtype	Host
H5N5_Avian_EU871918_A/mallard/MN/105/2000|2000.500	2000	MN	H5N5	Wild-ans
H5N5_Avian_GU727652_A/duck/Eastern_China/008/2008|2008.953	2008	Eastern China	H5N5	Dom-ans
H5N5_Avian_GU727660_A/duck/Eastern_China/031/2009|2009.038	2009	Eastern China	H5N5	Dom-ans
H5N5_Avian_JX878682_A/duck/HuBei/03/2010|2010.236	2010	HuBei	H5N5	Dom-ans
H5N5_Avian_JQ973685_A/goose/Guangdong/k0103/2010|2010.071	2010	Guangdong	H5N5	Dom-ans
H5N5_Avian_JQ973677_A/quail/Jiangsu/k0104/2010|2010.019	2010	Jiangsu	H5N5	Dom-gal
H5N5_Avian_CY139842_A/mallard/Minnesota/355811/2000|2000.500	2000	Minnesota	H5N5	Wild-ans
H5N5_Avian_CY091626_A/duck/Guangdong/wy11/2008|2008.427	2008	Guangdong	H5N5	Dom-ans
H5N5_Avian_CY091634_A/duck/Guangdong/wy19/2008|2008.427	2008	Guangdong	H5N5	Dom-ans
H5N5_Avian_CY091642_A/duck/Guangdong/wy24/2008|2008.427	2008	Guangdong	H5N5	Dom-ans
H5N5_Avian_CY177268_A/mallard/California/1399/2013|2013.556	2013	California	H5N5	Wild-ans
H5N5_Avian_CY177398_A/mallard/California/1495/2013|2013.575	2013	California	H5N5	Wild-ans
H5N5_Avian_CY177310_A/mallard/California/1426/2013|2013.556	2013	California	H5N5	Wild-ans
HXNX_Avian_CY177172_A/mallard/California/1367/2013|2013.553	2013	California	HXNX	Wild-ans
HXNX_Avian_CY177294_A/mallard/California/1412/2013|2013.556	2013	California	HXNX	Wild-ans
HXNX_Avian_CY176987_A/mallard/California/1479/2013|2013.575	2013	California	HXNX	Wild-ans
H5N5_Avian_MF359870_A/mallard/Alberta/383/2009|2009.638	2009	Alberta	H5N5	Wild-ans
H5N5_Avian_KJ907646_A/duck/Liaoning/LN/2011|2011.162	2011	Liaoning	H5N5	Dom-ans
H10N5_Avian_MG599639_A/ruddy_turnstone/Delaware_Bay/342/2016|2016.392	2016	Delaware Bay	H10N5	Wild-other
